GST Number,PAN Number,Balance,Currency,Description,Name
D75KR86VKCRB6,FZHHS8992K,543.81,EUR,Test Account -NV,Account yAyR-dAlG-XV
K49DAX5B3PX3A,QZIAF6528Q,434.62,JPY,Test Account -PV,Banking eZwN-jPtF-ZZ
OJFFSGKDLBBB4,DCYMT6182R,39.12,GBP,Test Account -PV,Banking pKnY-cNpZ-XY
ZMOQX3NC9R31N,UGABX7535E,404.9,CHF,Test Account -NV,Banking aRoH-yPlK-XV
W4S8BJFY4KGNA,HBAMR9107E,528.29,AUD,Test Account -XV,Financial nQmH-lTvT-ZZ
BFTDZ0E6HAGX1,LHGVU6530W,121.34,CHF,Test Account -XV,Trade zVgG-aCnH-ZZ
7KPG42H0Q0KJ1,DIMAJ3782H,229.98,EUR,Test Account -PV,Account tTfU-xMwQ-PV
MOWM5KXT7Q2Q9,QJKQT8955Q,190.91,GBP,Test Account -PV,Financial xEmL-oKlA-XY
FXSYKR51D4L9O,WEARL8088S,842.06,USD,Test Account -NV,Investment bUyL-pEqQ-NV
254O8Z7BGELQ0,HDSQK9838D,545.48,INR,Test Account -NV,Financial lTxN-jFtM-XY
DKPB093RJM6DP,KMZTS9331G,67.26,HKD,Test Account -PV,Banking tOkS-bFsR-ZZ
NGMQ4YPQWVNRB,POKTX5474S,578.01,CHF,Test Account -NV,Banking zUdN-zZrR-XY
J3X1KQMYJDDQJ,FLDAO4218L,758.91,HKD,Test Account -NV,Trade pCwL-tNmV-XY
ECMF6L3HTIEN4,NXLHC7331F,963.56,CHF,Test Account -PV,Banking jKfK-mUoT-XY
7BSYUUWY7I57M,QFCPM5628S,312.52,JPY,Test Account -NV,Investment gDnJ-kQoA-PV
4PAVCFFR2KI5G,GJUUD6241U,270.76,INR,Test Account -XV,Investment lTiY-xPqR-XV
Q9ULD6NMZKZMQ,IZYOO8604U,812.26,CHF,Test Account -XV,Financial nFiU-aBpU-PV
K2EV61EHHM9MO,IGUWW7407R,750.12,HKD,Test Account -XV,Financial xYqY-iEwI-PV
50U4R0L5G1CGF,NIKOE5431R,561.51,HKD,Test Account -NV,Investment iTdJ-vGrN-PV
B37HDURTDT7R2,FQPDN5242Y,464.74,EUR,Test Account -PV,Investment wLjR-aZwN-XY
13192Z2K7M537,MIQZH7502Y,123.89,USD,Test Account -NV,Banking dUrE-iBuC-NV
N5XWZPSVOBRI3,SGCPG7253A,838.55,USD,Test Account -NV,Investment oHvD-xXeN-PV
V1F9YBM8U8C17,DKVXO5910W,169.6,INR,Test Account -XV,Account eAmG-bIsZ-XV
XB6ERRZ7Y00BE,EGRJI8718R,804.36,JPY,Test Account -XV,Banking kZnE-nObO-PV
JRCDOCWPVL4VJ,ERFYK2718S,67.02,GBP,Test Account -XV,Banking qPlT-sGsZ-XY
WM9S01O87VSWG,FGOAP8116C,535.01,AUD,Test Account -NV,Trade qRwT-oPbM-ZZ
VA5EJ4C0HG0T1,GQKUJ2339N,438.13,CNY,Test Account -XV,Financial aXmP-nDtY-PV
5AWJ4MDXUPBAB,JZULF6331T,536.19,GBP,Test Account -XV,Financial lPnG-xPzJ-NV
5KMHM3HKDAIWI,VIFXJ8842Q,907.75,CAD,Test Account -NV,Banking rObY-yZfA-ZZ
F1UHQESGZ8Z05,FSSXT5292O,236.7,CHF,Test Account -XV,Account aOtY-sUhL-PV
8ZA07RGVFMT9K,NERJV9249P,954.73,USD,Test Account -PV,Investment nVpL-jXlI-XV
LS58DFOWT993K,JIFLE6433G,447.15,EUR,Test Account -NV,Account hUaO-kLgR-NV
721T7SGLS1E8Z,OWFXR6258A,810.02,INR,Test Account -NV,Investment yKxT-aZrO-NV
UDXSOI7I4YG7I,JAZNZ8001U,872.88,CHF,Test Account -NV,Investment yMoY-iFwX-XY
3S2TE13L1D8DG,MBBJF7580G,846.27,CAD,Test Account -XV,Financial dQmE-aLxN-PV
B9X7O4SLZ75SL,RJCUW1569L,869.02,JPY,Test Account -NV,Investment uOhH-oVgZ-XV
JYH3D4NR3FP00,SBMLW1580P,475.74,EUR,Test Account -XV,Financial wKyG-jJjP-XV
SI9QIRCSI4LUY,LWOBO9337H,830.57,JPY,Test Account -PV,Trade hYvP-tOkZ-NV
ZJIUJ6T50SF6C,WZNCZ2848O,290.43,CNY,Test Account -XV,Financial aOgT-qXfY-XY
X8BLFJ9T49PDB,EROLS2954V,625.36,JPY,Test Account -NV,Banking sDaV-bKaL-ZZ
MVCR5MSOBL9DS,LAJKR1238V,795.4,INR,Test Account -NV,Financial pAyF-aZtY-NV
8484QUAYU45JP,ZUOBL8794Q,81.12,USD,Test Account -NV,Financial oDpG-rRgW-XV
N7NCQ292LQEX2,TIIPM5845K,158.42,USD,Test Account -NV,Investment bXuB-iKhP-ZZ
029M6IBHBMEBG,QPBLZ1406V,726.98,EUR,Test Account -NV,Banking oOaF-pViV-PV
SBMB83JV1SRYB,FPCAF5505B,447.63,HKD,Test Account -PV,Trade pRjG-iAhS-PV
RE8CA8HCD9OJW,DTQVZ3280Q,567.2,CHF,Test Account -NV,Account zBbE-zMhV-XY
LP6ZEMKXRZV36,CNPYK6019T,153.7,JPY,Test Account -XV,Account xRxE-iQzN-ZZ
FE86MI3WKCRX8,JPVEW8907X,665.76,GBP,Test Account -NV,Account nCvA-oBkZ-XV
HDRVKNHE2NR6Z,QWKNB8872O,548.93,USD,Test Account -XV,Trade jIjM-xJfM-NV
0S8C3T21L1AJ8,KONOW4023Y,430.56,AUD,Test Account -NV,Financial rBgA-uKgH-PV
OE5RLTU9GNQR6,IPVVX5291T,607.25,CNY,Test Account -PV,Trade eRjQ-hBnZ-XV
8ZGID22NQWYAI,XCHKV2254J,530.41,HKD,Test Account -XV,Banking xBaB-sFkK-ZZ
4V2G0HZR0ENO6,KNVAI4373T,693.39,EUR,Test Account -NV,Account iEaO-dTwH-XV
7LSBJG2PJEVX4,WSGQT7963U,39.05,HKD,Test Account -PV,Account fAxS-tJiX-ZZ
